"Unnamed: 0","Unnamed: 1","Unnamed: 2","Unnamed: 3","Unnamed: 4","Unnamed: 5","Unnamed: 6","Unnamed: 7","Unnamed: 8","Unnamed: 9","Unnamed: 10","Unnamed: 11","Unnamed: 12","Unnamed: 13","Unnamed: 14","Unnamed: 15"
""," LR 01 - B 04 (80)+LR 01 - B 05 (120)"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"Thursday 12/01/2023"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"
"Friday 13/01/2023"," ---"," -X-"," BAU 08104 Quantitative Methods for Decision Making"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," "BAU 08103 Taxation"," "," ""," -X-"," ---"
""," "," "," LWF 03 - B 15(120)+RWF 03 - B 15(80)"," "," "," "," "," "," "," "," "," "," LWF 04 - B 15(125)+RWF 04 - B 15(125)"," "," "
"Saturday 14/01/2023"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"
"Sunday 15/01/2023"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"
"Monday 16/01/2023"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," "BAU 08105 Auditing"," "," ""," -X-"," ---"
""," "," "," "," "," "," "," "," "," "," "," "," "," LR 01 - B 04 (80)+LR 01 - B 05 (120)"," "," "
""," Timetable generated with FET 5.30.3 on 1/3/23 1:09 PM"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"back to the top"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"NATIONAL INSTITUTE OF TRANSPORT TEST 2 TIMETABLE FOR ACADEMIC YEAR 2022_2023"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
""," BATF STREAM B (130)"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
""," 07:00-08:00"," 08:00-08:30"," 08:30-09:30"," 09:30-10:00"," 10:00-11:00"," 11:00-11:30"," 11:30-12:30"," 12:30-13:00"," 13:00-14:00"," 14:00-14:30"," 14:30-15:30"," 15:30-16:00"," 16:00-17:00"," 17:00-17:30"," 17:30-18:30"
"Monday 09/01/2023"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," "BAU 08101 Transport Costing and Finance"," "," ""," -X-"," ---"
""," "," "," "," "," "," "," "," "," "," "," "," "," RC 01 - B 16(160)"," "," "
"Tuesday 10/01/2023"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"
"Wednesday 11/01/2023"," "BAU 08102 Introduction to Financial Reporting "," "," ""," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"
""," CLASS VII (154)"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"Thursday 12/01/2023"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"
"Friday 13/01/2023"," ---"," -X-"," BAU 08104 Quantitative Methods for Decision Making"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," "BAU 08103 Taxation"," "," ""," -X-"," ---"
""," "," "," CLASS VII (154)"," "," "," "," "," "," "," "," "," "," CLASS VII (154)"," "," "
"Saturday 14/01/2023"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"
"Sunday 15/01/2023"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"
"Monday 16/01/2023"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," "BAU 08105 Auditing"," "," ""," -X-"," ---"
""," "," "," "," "," "," "," "," "," "," "," "," "," LR 01 - B 20(160)"," "," "
""," Timetable generated with FET 5.30.3 on 1/3/23 1:09 PM"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"back to the top"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"NATIONAL INSTITUTE OF TRANSPORT TEST 2 TIMETABLE FOR ACADEMIC YEAR 2022_2023"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
""," BBA (350)"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
""," 07:00-08:00"," 08:00-08:30"," 08:30-09:30"," 09:30-10:00"," 10:00-11:00"," 11:00-11:30"," 11:30-12:30"," 12:30-13:00"," 13:00-14:00"," 14:00-14:30"," 14:30-15:30"," 15:30-16:00"," 16:00-17:00"," 17:00-17:30"," 17:30-18:30"
"Monday 09/01/2023"," -x-"," -x-"," BBU 08105 Business Ethics and Good Governance LR 01 - B 18(160)+LR 01 - B 19(144) + LR 01 - B20 (46 students)"," -x-"," -x-"," -x-"," -x-"," -x-"," -x-"," -x-"," -x-"," -x-"," -x-"," -x-"," -x-"
"Tuesday 10/01/2023"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"
"Wednesday 11/01/2023"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," BBU 08102 Service Marketing"," -X-"," BBU 08104 Business Planning and Development"," -X-"," ---"," -X-"," ---"
""," "," "," "," "," "," "," "," "," MPH 01 - B 22(350)"," "," MPH 01 - B 22(350)"," "," "," "," "
"Thursday 12/01/2023"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"
"Friday 13/01/2023"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," BBU 08106 e-Business"
""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," MPH 01 - B 22(350)"
"Saturday 14/01/2023"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"
"Sunday 15/01/2023"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"
"Monday 16/01/2023"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," BBU 08101 Marketing Research"," -X-"," ---"
""," "," "," "," "," "," "," "," "," "," "," "," "," MPH 01 - B 22(350)"," "," "
""," Timetable generated with FET 5.30.3 on 1/3/23 1:09 PM"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"back to the top"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"NATIONAL INSTITUTE OF TRANSPORT TEST 2 TIMETABLE FOR ACADEMIC YEAR 2022_2023"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
""," BCAELT(20)"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
""," 07:00-08:00"," 08:00-08:30"," 08:30-09:30"," 09:30-10:00"," 10:00-11:00"," 11:00-11:30"," 11:30-12:30"," 12:30-13:00"," 13:00-14:00"," 14:00-14:30"," 14:30-15:30"," 15:30-16:00"," 16:00-17:00"," 17:00-17:30"," 17:30-18:30"
"Monday 09/01/2023"," "BCAELT(20)","  BTAEE (30)""," -X-"," "BCAELT(20)","  BCMERV(54)","  BCERE (30)","  BCTSE (30)","  BCSR(10)""," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"
""," AET 04108 Basic Electrical and Electronics Engineering/AET 04102 Fundamentals of Electrical and Electronics Engineering/EET 04101 Basic Electricity"," "," AET 04103 Basic Computer Application/SRT 04103 Basic Computer Knowledge"," "," "," "," "," "," "," "," "," "," "," "," "
""," CLASS VII (154)"," "," CLASS VII (154)"," "," "," "," "," "," "," "," "," "," "," "," "
"Tuesday 10/01/2023"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," "BCAELT(20)","  BCMERV(54)","  BCERE (30)","  BCTSE (30)","  BCSR(10)""," -X-"," "BCAELT(20)","  BCMERV(54)","  BCERE (30)","  BCTSE (30)""," -X-"," ---"
